Address;Region;Latitude;Longitude;Team;Stadium;Capacity
3 Bd Michelet, 13008 Marseille;Provence Alpes Cote d'Azur;43.2699;5.3959;Marseille;Orange Velodrome;67394
10 Av. Simone Veil, 69150 Decines-Charpieu;Auvergne Rhone Alpes;45.7652;4.982;Lyon;Groupama Stadium;59186
24 Rue du Commandant Guilbaud, 75016 Paris;Ile de France;48.8414;2.2531;Paris SG;Parc des Princes;48583
261 Bd de Tournai, 59650 Villeneuve-d'Ascq;Hauts de France;50.6119;3.1305;Lille;Decathlon Arena-Stade Pierre-Mauroy;50186
Av. Alfred Maes, 62300 Lens;Hauts de France;50.4331;2.8152;Lens;Stade Bollaert-Delelis;38223
12 Rue de l'Extenwoerth, 67100 Strasbourg;Grand Est;48.56;7.7553;Strasbourg;Stade de la Meinau;32000
111 Rue de Lorient, 35000 Rennes;Bretagne;48.1075;-1.7129;Rennes;Roazhon Park;29778
333 Rte de Saint-Joseph, 44300 Nantes;Pays de la Loire;47.256;-1.5247;Nantes;Stade de la Beaujoire;35322
1 All. Gabriel Bienes, 31400 Toulouse;Occitanie;43.5833;1.4338;Toulouse;Stadium Municipal;33150
3 All. Saint-Symphorien, 57000 Metz;Grand Est;49.1097;6.1597;Metz;Stade Saint-Symphorien;28786
Bd des Jardiniers, 06200 Nice;Provence Alpes Cote d'Azur;43.7051;7.1927;Nice;Allianz Riviera;36178
Bd de Leningrad, 76600 Le Havre;Normandie;49.4989;0.1696;Le Havre;Stade Oceane;25178
20-40 Av. du General Sarrail, 75016 Paris;Ile de France;48.8434;2.2529;Paris FC;Stade Jean Bouin;19904
Rte de Vaux, 89000 Auxerre;Bourgogne Franche Comte;47.7826;3.5928;Auxerre;Stade de l'Abbe-Deschamps;18541
Rue du Tour de Port, 56100 Lorient;Bretagne;47.7486;-3.3693;Lorient;Stade du Moustoir;16787
26 Rue de Quimper, 29200 Brest;Bretagne;48.403;-4.4682;Brest;Stade Francis-Le Ble;15220
Bd de Coubertin, 49000 Angers;Pays de la Loire;47.4604;-0.5303;Angers;Stade Raymond-Kopa;19350
7 Av. des Castelans, 98000 Monaco;Monaco;43.7276;7.4155;Monaco;Stade Louis-II;18525
4 rue Adrien Mabrut, 63100 Clermont Ferrand;Auvergne Rhone Alpes;45.8158;3.1217;Clermont;Stade Gabriel-Montpied;10800
33, chausse Bocquaine, 51100 Reims;Grand Est;49.2471;4.0248;Reims;Stade Auguste-Delaune;20519
Avenue Heidelberg, 34085 Montpellier;Occitanie;43.6222;3.812;Montpellier;Stade de la Mosson;22000
14 Rue Paul et Pierre Guichard, 42000 Saint-Etienne;Auvergne Rhone Alpes;45.4608;4.3903;Saint Etienne;Stade Geoffroy-Guichard;41965
